           [,1]      [,2]      [,3]      [,4]      [,5]
[1,] 0.02558189 0.3037453 0.3814978 0.0426776 0.3933223
[2,] 0.09950637 0.3157521 0.3594606 0.1055537 0.3877196
[3,] 0.19991346 0.2870136 0.3375144 0.2186345 0.3940498
[4,] 0.30120068 0.3083870 0.3161190 0.3469186 0.4011937
[5,] 0.39952909 0.2757049 0.2958816 0.4910173 0.4100162
[6,] 0.49955242 0.3093559 0.2758996 0.6597455 0.3988847
     [,1] [,2] [,3] [,4] [,5]
[1,]  944  985    0  950  204
[2,]  120  988    0  545  213
[3,]    0  981    0   24  190
[4,]    0  972    0    0  157
[5,]    0  973    0    0  128
[6,]    0  950    0    0  139
     [,1]
[1,]   46
[2,]   52
[3,]   65
[4,]   81
[5,]  137
[6,]  159
