           [,1]       [,2]      [,3]       [,4]      [,5]
[1,] 0.02538244 0.02844827 0.3818319 0.04301293 0.3819286
[2,] 0.09842757 0.02988335 0.3589204 0.10875557 0.3823512
[3,] 0.20011470 0.02837249 0.3372979 0.22072556 0.3838017
[4,] 0.29923542 0.02811677 0.3159666 0.34785279 0.3850717
[5,] 0.39981914 0.02722336 0.2957389 0.48675386 0.3869120
[6,] 0.48770831 0.03024290 0.2781344 0.64036047 0.3850309
     [,1] [,2] [,3] [,4] [,5]
[1,]  937  945    0  946    0
[2,]  123  938    0  525    0
[3,]    0  938    0   25    0
[4,]    0  942    0    0    0
[5,]    0  952    0    0    0
[6,]    0  919    0    0    0
     [,1]
[1,]   45
[2,]  982
[3,] 1000
[4,] 1000
[5,] 1000
[6,] 1000
