           [,1]       [,2]      [,3]       [,4]      [,5]
[1,] 0.02538423 0.08681980 0.3816449 0.04252815 0.3830304
[2,] 0.09770296 0.08777340 0.3593493 0.10685797 0.3819194
[3,] 0.19979701 0.08805065 0.3374167 0.22013747 0.3843854
[4,] 0.30015070 0.08632824 0.3162694 0.34545572 0.3880634
[5,] 0.40036947 0.08306456 0.2956230 0.48916733 0.3862705
[6,] 0.49859893 0.08905181 0.2757739 0.66021240 0.3917922
     [,1] [,2] [,3] [,4] [,5]
[1,]  948  948    0  946    0
[2,]  136  936    0  542    0
[3,]    0  942    0   26    0
[4,]    0  943    0    0    0
[5,]    0  955    0    0    0
[6,]    0  945    0    0    0
     [,1]
[1,]   48
[2,]  102
[3,]  240
[4,]  497
[5,]  696
[6,]  899
