           [,1]       [,2]      [,3]       [,4]      [,5]
[1,] 0.02565461 0.05103898 0.3816690 0.04313505 0.3823867
[2,] 0.09993697 0.05126734 0.3592844 0.10689962 0.3822107
[3,] 0.19993694 0.05196023 0.3373216 0.22069584 0.3839156
[4,] 0.29973646 0.04996806 0.3163259 0.34600885 0.3865351
[5,] 0.40036779 0.04957066 0.2954767 0.48778238 0.3875519
[6,] 0.50073002 0.05111783 0.2754279 0.66694892 0.3884558
     [,1] [,2] [,3] [,4] [,5]
[1,]  949  943    0  946    0
[2,]  111  951    0  545    0
[3,]    0  941    0   32    0
[4,]    0  934    0    0    0
[5,]    0  949    0    0    0
[6,]    0  944    0    0    0
     [,1]
[1,]   42
[2,]  209
[3,]  643
[4,]  941
[5,]  997
[6,] 1000
